tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
"@womensday What a wonderful advert for the brilliant vaccine programmes continuing to save lives , improve quality of lives &amp; reducing strain on NHS services . This is one fantastic reason for the NHS to be cherished by public everyday","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Shivaami is joining the force this #IWD2022 to #breakthebias by bringing leading Women Entrepreneurs to share their success stories online.Register here(https://t.co/w3IVPDJEY9).Date : 8th March 2022Time : 3 PM to 5 PM#webinar #freewebinar #womensday #womensday2022 #WOMEN https://t.co/FsCXnLmuna,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"This is the day to salute all women's struggle to secure a dignified place.Women are inspirations for others in so many ways. My special honor, tribute &amp; respect to Madam #Fuzia_Shahzad. Happy #WomensDay #nationalworkingwomensday@HERAKP_Official @UOM_LowerDir_KP https://t.co/vDOIMmndvC","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Custom Color Inspirational Aviation Gift Funny Pilot Mug Amelia Earhart Quote Ceramic Coffee Cup Mug for her https://t.co/9mFRtOEfu4 #CraftyMcClever #UniqueEtsy #WomensDay https://t.co/DZoPBhb9mz,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
To all women deserving of their special day. Nollaigh na mBan Shona Daoibh. #womensday #nowork https://t.co/KzCQmOSYpF,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Feel #blessed that I have raised a caring &amp; loving 13 yo who is our Next Gen Feminist &amp; Ally. I was crying of joy inside when I got this text. Not only we must #BreakTheBias for women, we need to do it for our children. 🗼🍣🍧🧋@GlobalFundWomen @UN_Women @womensday @WomeninID https://t.co/UJvvloR0iP","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"“Above all, be the heroine of your life, not the victim” — Nora Ephron. Click here for 48 inspirational quotes for women. #WomensDay #WomensDay2021 #IWD2021 #InternationalWomensDay https://t.co/EtJleqOYQP","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Womensday 1@aboutlastnitexx @Nope_No_way_FU @MellyAwe @PuckinSassPot @CrossFitGoddess @Crazy_ButCute2 @Taylorr1114 @TheSuccuBish @MistyYo72777051 @TheBexecutioner @HTXpuckprincess @Kenzie7187 @CoreKittyBayBay @j13_pineapple @JetBomb25 @HeatherDM4 @Envious_Rebel85 @nikki_420woman https://t.co/htgFRSxHGf,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0]"
@womensday May I ask when you will announce the theme for 2022 IWD? I'm looking ahead to programming and try to work with your theme each year. Thanks!,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Lauren Case owner of Buns Bakery shared her insights with us.What are your most valuable tips to share with other women entrepreneurs, in 2021?Be patient, be alert, be understanding, be kind to yourself &amp; persevere! #WomensMonth #WomensDay #BossBabe #Queen #GirlPower https://t.co/IL8rIpDTEl","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#abstractpainting #ArtistOnTwitter #WomensArt #WomensRights #photographicart #abstractart Hearth https://t.co/bhUn8SWjYJ,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How can the Right be sooo Wrong?#GOPDeathCult#AbortionIsHealthcare#WomensRights,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"Say it again for the ones in the back! 🗣 When a woman tells you to STFU and stay out her business, you better. 👏🏼 They got too much s**t to deal with, they don’t need yours too! Empower your female friends and put them on a pedestal! They deserve it! #WomensRights #Listen2Her https://t.co/1wBQlQfwLu","[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
"@ABC Media's roaring ""#WomensRights"" BUT EXCEPT voting, #Afghan women MIGHT be more protected by their gov or by the #Taliban (Let's wait &amp; see) than US &amp; #FrenchWomen. Remember how many lies they told about #Lybia. TV &amp; films show us only radical foreigners. @BlackQueenLara's right.","[0.5, 0.5]","[0.5, 0.0, 0.0, 0.5]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
"AND THE FATHER WILL NEVER BE HELD AT THE SAME LEVEL OF DISDAIN WOMEN ARE HELD ON A DAY TO DAY BASIS! Free #BrittneyPoolaw, stop the sexist #abortionlaw, and stop making cockamamie excuses to oppress #WomensRights!","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]"
I’m bringing this discussion back up today because women have been marginalized and physically taken advantage of. It’s time we fight and vote to speak once again for: #WomensRights #WomensEqualPay  **AllVoteBlueIn2022** https://t.co/w2m6o5SLJb https://t.co/3PTq0yTTfR,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.5]","[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.6666666666666666]"
@BetoORourke is for #WomensRights.Vote for Beto. ⬇️⬇️ https://t.co/hcoOS0dw1P,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@ranezzie @RebeccaHahn9 @LiberalTexas1 @chipfranklin Actually not true. Do better research. A branch of southern democrats who called themselves Dixiecrats did. They also broke off from the party so they were no longer Democrats but racist pos. The only fascist party is the one taking away our rights... The repubs. #WomensRights,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Daughter is taking me to VA today. May I say, I really dislike the pain from falling. Ugh have a good day folks. #BuildBackBetter #VotingRights #JohnLewisVotingRightsAct #WomensRights #FireDejoy #ExpandTheCourt so much to do in so little time","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
@RoseWorthesee @COYSRach @loveradio3 @Keir_Starmer @UKLabour Completely agree. Never before have I felt a voting decision should be made on the basis of one policy.Both @UKLabour and @LibDems are off my list. It's not without a big sigh that I say the @Conservatives look like the only option so far. #WomensRights,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"The distorted moral narrative of religious nationalism = 1 of the 5 interlocking injustices + evils that the #PoorPeoplesCampaign challenges, and fights back against! #WomensRights #WomensRightsAreHumanRights https://t.co/ZEopTrXOqM","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
For women everywhere. #womensrights #womensrightsmatter #forwomeneverywhere#mothersdaughterssistersfriends https://t.co/UeOJYnxCSQ,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Dear Supreme Court and @GOP If you don't know me, you don't get to decide my medical decisions #SupremeCourt #WomensRights","[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0]"
As a S&amp;D PM his government reversed the restrictive policies on #abortion &amp; #WomensRights from Gruevski’s regime. There’s much that could still be done on the issue but in a traditional society small steps are the best approach.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.5, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.5, 0.0, 0.0, 0.16666666666666666]"
@jefaesthetics @KMPHFOX26 Completely agree!!! 🙌#shameontexas #abortionrights #WomensRights,"[0.5, 0.5]","[0.5, 0.5, 0.0, 0.0]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
We see you! Here’s 10 queer women who changed history.  https://t.co/PCb9XYzNJz#queerwomen #lgbtq+ #activism #writer #feminist #womensrights #bisexual #lesbian #queerhistory,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]"
"This is no joke: 🇮🇷 Iran is joining the U.N. Women Rights Commission on March 25, 2022. #UN #womensrights #UNisGarbage #UnitedNations https://t.co/bAkriO3Nev","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Dear @WomensRightsSalih Enes, who just turned 2 y-o, given to his mom, Elif Yalçın, who's been jailed in Gebze for 8 months in Turkey. Mom and son have been for 2 days in the quarantine ward!BuSuça OrtakOlma https://t.co/Yq1QTAfMHV","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0]"
Now let's go find all the murdered and missing Native American Woman. Every Woman life matter. #gabbypetitio #WomensRights,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.5, 0.16666666666666666]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]"
@mikejensen77 Thank you Cecilt Strong #SNL ! That was brave and brilliant and spot on.  Thank you #WomensRights,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@emrazz It’s funny I saw someone create a thread of this but for men on what they would do with a day without women and the majority of responses were “enjoy the silence” and “play video games uninterrupted” but not one single comment about safety.,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666]","[0.16666666666666666, 0.5, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334]"
@Stephenkek101 @rockin1mom @mcasper10 @Houston4Warren @SenTinaSmith Didn’t you try a day without women a few years back and no one noticed?,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@DontFvkingTxtMe @16_17_18otw @michael2003_ @MargaretObi1 Calm down ma'am. You needn't attack people to make your point. And saying ""men won't last a day without women"" is wrong. That's what the guys have been pointing out to you. Men and women need one another to survive. Me and @MargaretObi1 were only catching cruise ab initio.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
@lkmeenha we can’t even have a day without women making it about themselves 🙄,"[0.0, 1.0]","[0.0, 0.8333333333333334, 0.16666666666666666, 0.0]","[0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]"
"@mzrsd @BotForEquality A Day Without Women, sounds like a great idea.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
niggas wouldn’t last a day without women. argue w ya mama. https://t.co/wa7XEegCSd,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"@Wandile_evilhun @genmharding Women have always worked, but men do most of the work that represents a town's, city's, county's, state's, nation's infrastructure. We had a day without women march. After that event, those that were cleaning up the waste left behind by the women who participated were all male.","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.6666666666666666]"
"@eskiflo1 @FraInParis @thehill Again darling, male fragility. Do some reading on a day without women in the economy. However, paid family time is better for the economy and society in all ways and regardless of gender. You must think capitalism, wages, quality of life, and GPD are disconnected.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
@DarioColon1 @SamBeary97 @Cloudnine5000 @womenpostingws Not you assuming everyone on stan twitter wants her notice. Not everyone is dying for attention unlike you. Ofcourse you'd not understand. You won't even survive a day without women's attention on Twitter. Complete incel behaviour. Smhhttps://t.co/yEewF35rAQ,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]"
"@miaeranasimp @ctrlfantasy LMAO, baby girl. You wouldn’t go a day without women ❤️","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.3333333333333333, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.5]"
just cant get through a day without WOMEN breaking me into pieces… keep breaking me btw i love it,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333]"
Do women go on strike if Roe is overturned? I’d be supportive of a day without women? Who’s organizing?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
Have a day without women—no work and no sex.  See how they like that strike. https://t.co/rlYDoclrXY,"[0.0, 1.0]","[0.0, 0.6666666666666666, 0.0, 0.3333333333333333]","[0.0, 0.16666666666666666, 0.0, 0.6666666666666666, 0.0, 0.8333333333333334]"
This could be over the top but I believe the times call for it Ladies this country needs A Day Without Women a national sick out you do have more economic power then people believe and men of means understand the bottom line DOLLARS,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
"@Mattdathe @emrazz If any man asked “imagine a day without women”. Women would flip their shit.  Misogyny, men are evil, man=bad, “we came a long way” blah blah.  But somehow they think its totally cool to say the opposite.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
"Enough is enough. Instead of ""A Day Without Women,"" let's do ""A MONTH Without Black Teachers (+Allies)."" Feel our absence the same way you want us absent from this country's history 😒🤔","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@BigDILF01 Can’t go a day without women womening,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]"
@TheRealHoarse To hell with a day without women it's time for every woman in the US to go on vacation until we are treated equal under the law and useless pathetic men stop sticking thier noses where it doesn't belong.,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"When video game you tubers blacklist one of their co workers for making a poor joke about a day without women, but never say a word about their other coworkers obsession with have sex with disney princesses, despite the fact that they are all underage. But that’s ok,","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]"
@JesseRodriguez @JulianCastro @DeadlineWH @NicolleDWallace @nytimes We need a day without women.  All call in sick across the country,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]"
@YouFugazi He was abusive.  He was the problem.  Porsha's got issues but she didn't deserve mental and physical abuse or to grieve the loss of her child alone.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]"
Not my Nigga FaceTiming me talking bout he gone curse me out the lady next to me saying don’t let him abuse me 😂😂,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]","[0.16666666666666666, 0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]"
@orpheusaki / abuse mentionnah it’s so whack to me that some people don’t agree with that statement?? like?? i know actions speak louder than words but also?? it’s a literal abuser,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@TheAmberPicota I don't usually care about the Kardashians but people who use abuse to control their partner get a special type of ire from me. As well as people (media, not you) who give them a platform for entertainment without realizing what's happening. Or caring.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
@Needstoo1 @DeanAle72145537 I'm just an apologetic Canadian willing to give the guy some sympathy.Biden I mean. Elder abuse in the open. Shameful.,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Ah MRAs. They always show their true hateful colors of needing to control and abuse women to pump up their own foundering egos.  Instead of actually working on possibly real issues, they let their insecurity take hold. https://t.co/rUgwNzjZZM","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.3333333333333333]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333]"
"RINO gets the RACK!EXCLUSIVE: Van Taylor Accused of Extramarital Affair With ISIS Bride, Abuse of Power, 'Rim Job' Text via @NationalFile https://t.co/D3IVrVjcFR","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
@jenyuen12 @TheRealWilian @DanielleCorrick @HamillHimself Abuse implies force. These women were willing and of age. To act like they didn’t understand Hefner was a womanizer is silly.,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.16666666666666666]"
Child abuse. I’m not anti vax- but I am anti fear. You can’t tell me this is healthy… she knows she’s doing it for others… you told her that. https://t.co/teo4aSOV14,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
@mattzap It's great that the Washington Post has just discovered civil asset forfeiture abuse. Reason magazine @reason has been writing about it for many years now and the Institute for Justice @IJ has been fighting against it in the courts for years. Donate to IJ to help the fight.,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@LuVF497 @RaducanuIN @namjoonanamcara He used hi influence to mentally and physically force a young woman into sleeping with him… she had to give her emotions to ease the pain …it’s still abuse and rape,"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666]","[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333]"
"@RudyHavenstein @BLS_gov @neelkashkari @federalreserve He’s one of my favorites. It makes me ill that he’s had to endure the mental abuse this market has heaped on him. And for all the haters, neither he or I care.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0]"
@deverraislpe @Bootiedo22 @KoreanAir_KE OUR GOVERNMENT@POTUS @VP@SecDebHaaland@BLMca @BLM_CO @BLMca @blmnv @blmnv @BLMWHB @BLMWyoming @congressdotgov#Terrorists #MURDERERS#ABUSE#LIARS#TRAITORS https://t.co/qvZkpZWFDf,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"@PWDAustralia @GuardianAus Guardianship authorities &amp; Self-Funded Government Trustee Corporations have been using FUNDS belonging 2 ‘involuntary clients’  procured via Elder Abuse Reports, 2 fight them in courts if they or their families, attempt 2 regain their Liberty &amp; control of their Assets ! @DRC_AU","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@Jack4NJ 1) Our Tax Funds go toward these 'Equity Companies and Consultants'. They charge in the tens of thousands to emotionally confuse and abuse Our Children. They charge taxpayers/schools THOUSANDS just to have One Consultation!!! I Refuse my tax money to go toward this.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"@ElleGee36690142 Totally. I keep seeing all the posts about teaching sins not to be abusive, but if a girl comes from a home where she suffers or has witnessed abuse, or doesn’t have a sense of self worth instilled in her then she becomes a target for an abuser.","[0.5, 0.5]","[0.5, 0.0, 0.16666666666666666, 0.3333333333333333]","[0.5, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
Smithsonian Tropical Research Institute hit with sex abuse claims https://t.co/8NLgvMfW8k via @MailOnline At least 16 women come forward to allege 'sexual harassment and abuse' at Smithsonian's Tropical Research Institute - which is on an island in the Panama Canal,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.0, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0]"
@terryflewers Abuse is wrong but telling him to shut the fuck up and put a performance in isn’t wrong. Why is he always writing essays,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0]"
"@BroersSteven You saying 🤔😏 Just wait out the Republican's tantrums, misinformation, stock manipulation, voter suppression, blatant racism, abuse's of women's an immigrant, and basic human rights, failed insurrection😑 Whoa","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
"Granted Marius was the lesser evil since he didn't sexually abuse Armand as far as I'm aware. But he did basically make Armand into a dependent partner, since Armand had no way of leaving; nor would he have wanted to leave because he didn't know anything else.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Healthy androcentrism at its finest, ladies and gentlemen. https://t.co/0vI4KS4lAr","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@AccusedToo They’ve managed to substitute something that they said was bad, androcentrism, for something that is arguably worse, if only for the fact that it was done deliberately in as short a space of time as possible. Some would say only idiots do things like that.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Do you even know anything about basic feminism OR biology? The female body is different from the male body and this fact is the basis for female oppression, including to this day in the form of medical misogyny and androcentrism literally costing lives.https://t.co/bQTzCg7iHG https://t.co/F9Cy3p8LdB","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@Stanikzaiii @natiqmalikzada Even without TTP the women have many problems. I feel pity for this girl as she can only speak English but unable to see the discrimination, patriarchy, misogyny and androcentrism. She needs sensitization program.","[0.5, 0.5]","[0.5, 0.0, 0.16666666666666666, 0.3333333333333333]","[0.5, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
"If you’re at SPSP in person, be sure to check out my symposium with @Imlaura_vianna, @TerriFrasca, and @Asma__Ghani, “It’s raining men: How androcentrism shapes our everyday lives” this Saturday 8-9 am!  I unfortunately won’t be there in person, but come see everyone else!","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
Got doomed abstract on why androcentrism is/are the new  Longevists.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Leni vs The World po ba?? Kabi-kabila, from Ferdinand Jr. - Isko - Lacson. Androcentrism was too 1900's goiz 🤷","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
@AlexeiRomanov13 @MAIDENHEAD @theresamay @GBNEWS @RTUKnews It's centuries of white western androcentrism. Does this not make you pissed?,"[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
"it's just so very astounding to me. the feminist scholar who was one of the first to challenge androcentrism and patriarchy in international law... being elected a member of the ICJ and not a human rights body? is IL... changing? don't let me get my hopes up, please https://t.co/E3gvuyOPI8","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"@Sal_DeRosa I hear too little about reproduction from “critical” academics, why is it all about society/nature divides? Is it patriarchy and androcentrism at play?","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.5, 0.3333333333333333]","[0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.0, 0.16666666666666666]"
